PS D:\python\NES emulator> python -m cProfile -s tottime NESemupy.py
pygame-ce 2.5.6 (SDL 2.32.10, Python 3.11.9)
enter path to the .nes file: SMB.py
error: file not found
enter path to the .nes file: SMB.nes
successfully loaded the ROM file
PRG banks: 2 (32KB)
CHR banks: 1
reset vector: $8000
have fun playing an NES game on python!
executed 29829 CPU instructions in 1.3060 seconds.
executed 29829 CPU instructions in 1.3437 seconds.
executed 29829 CPU instructions in 0.9173 seconds.
executed 29829 CPU instructions in 0.8122 seconds.
executed 29829 CPU instructions in 1.0228 seconds.
executed 29829 CPU instructions in 1.0053 seconds.
executed 29829 CPU instructions in 1.0235 seconds.
executed 29829 CPU instructions in 1.0537 seconds.
executed 29829 CPU instructions in 0.9144 seconds.
executed 29829 CPU instructions in 0.9242 seconds.
executed 29829 CPU instructions in 0.9034 seconds.
executed 29829 CPU instructions in 1.2570 seconds.
executed 29829 CPU instructions in 1.2611 seconds.
executed 29829 CPU instructions in 1.2564 seconds.
executed 29829 CPU instructions in 1.2522 seconds.
executed 29829 CPU instructions in 1.2405 seconds.
executed 29829 CPU instructions in 1.2497 seconds.
executed 29829 CPU instructions in 1.2495 seconds.
executed 29829 CPU instructions in 1.2681 seconds.
executed 29829 CPU instructions in 1.2655 seconds.

press enter to exit
         55598248 function calls (55595210 primitive calls) in 36.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
  547/451    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
    46/41    0.000    0.000    0.047    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
       33    0.000    0.000    0.004    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
      312    0.000    0.000    0.000    0.000 typing.py:1725(__eq__)
    45/12    0.000    0.000    0.002    0.000 typing.py:1435(_determine_new_args)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
      822    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      202    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      204    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
  109/107    0.000    0.000    0.000    0.000 typing.py:1695(__hash__)
      456    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1562(__init__)
      480    0.000    0.000    0.000    0.000 typing.py:757(<genexpr>)
        1    0.000    0.000    0.024    0.024 linalg.py:1(<module>)
      232    0.000    0.000    0.000    0.000 typing.py:1687(__eq__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      373    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dataclasses.py:884(_process_class)
      214    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        1    0.000    0.000    0.006    0.006 hmac.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method 'get_view' of 'pygame.surface.Surface' objects}
      240    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.006    0.006 shutil.py:1(<module>)
    44/30    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
    46/40    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1239(exec_module)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       17    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0000022F93832200}
       36    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
       28    0.000    0.000    0.001    0.000 ipaddress.py:2192(__init__)
       79    0.000    0.000    0.000    0.000 enum.py:688(__call__)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        7    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       39    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       82    0.000    0.000    0.001    0.000 NESemupy.py:1096(STY_ABS)
       11    0.000    0.000    0.000    0.000 typing.py:2071(__init_subclass__)
       90    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _type_aliases.py:1(<module>)
      121    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:455(PurePath)
       56    0.000    0.000    0.000    0.000 _parser.py:376(_escape)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      111    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      186    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
       44    0.000    0.000    0.000    0.000 _parser.py:316(_class_escape)
       57    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       79    0.000    0.000    0.000    0.000 enum.py:1095(__new__)
       61    0.000    0.000    0.001    0.000 NESemupy.py:1055(ADC_ABS_Y)
       16    0.000    0.000    0.000    0.000 _compiler.py:388(<listcomp>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       51    0.000    0.000    0.000    0.000 NESemupy.py:1271(DEC_ZP)
    71/66    0.000    0.000    0.006    0.000 typing.py:500(__getitem__)
       28    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
       45    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
      107    0.000    0.000    0.000    0.000 __init__.py:163(match)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(__init__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
       54    0.000    0.000    0.000    0.000 _parser.py:453(_uniq)
       48    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       33    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      183    0.000    0.000    0.000    0.000 typing.py:1720(_value_and_type_iter)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1699(path_hook_for_FileFinder)
       43    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      105    0.000    0.000    0.001    0.000 typing.py:306(_deduplicate)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
      153    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       54    0.000    0.000    0.000    0.000 NESemupy.py:883(AND_ABS_X)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
       36    0.000    0.000    0.000    0.000 NESemupy.py:1471(SBC_IMM)
        1    0.000    0.000   36.271   36.271 NESemupy.py:1(<module>)
       11    0.000    0.000    0.000    0.000 typing.py:1040(__init__)
        1    0.000    0.000    0.026    0.026 _common.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
       44    0.000    0.000    0.000    0.000 typing.py:1054(__typing_subst__)
        1    0.000    0.000    0.033    0.033 index_tricks.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:422(spec_from_loader)
        3    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       81    0.000    0.000    0.000    0.000 typing.py:942(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      393    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1588(_guarded_repr_or_str)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       39    0.000    0.000    0.003    0.000 typing.py:506(__getitem__)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       66    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      332    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        9    0.000    0.000    0.000    0.000 typing.py:1586(__getitem__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:413(has_location)
       26    0.000    0.000    0.000    0.000 NESemupy.py:891(RTI)
    22/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 _itertools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
       33    0.000    0.000    0.001    0.000 typing.py:1526(copy_with)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000   34.672   34.672 NESemupy.py:2165(init_nondebug)
       54    0.000    0.000    0.000    0.000 NESemupy.py:500(AND)
        4    0.000    0.000    0.000    0.000 pathlib.py:56(parse_parts)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
      3/1    0.000    0.000    0.000    0.000 inspect.py:2435(_signature_from_callable)
        1    0.000    0.000    0.005    0.005 platform.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
        7    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        2    0.000    0.000    0.008    0.004 version.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:2982(__new__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       45    0.000    0.000    0.000    0.000 typing.py:296(_unpack_args)
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       26    0.000    0.000    0.001    0.000 core.py:6855(getdoc)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:1(<module>)
       26    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 glob.py:142(_iterdir)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.027    0.027 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       93    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
      3/1    0.000    0.000    0.001    0.001 <frozen importlib.util>:227(__getattribute__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       11    0.000    0.000    0.000    0.000 typing.py:1877(__init_subclass__)
        1    0.000    0.000    0.021    0.021 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inspect.py:2331(_signature_from_function)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:107(join)
       29    0.000    0.000    0.000    0.000 NESemupy.py:1250(LDX_ABS_Y)
       27    0.000    0.000    0.000    0.000 NESemupy.py:524(EOR)
        2    0.000    0.000    0.010    0.005 readers.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
      102    0.000    0.000    0.000    0.000 typing.py:1429(<genexpr>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        8    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
       70    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1122(get_filename)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        3    0.000    0.000    0.001    0.000 <frozen ntpath>:674(realpath)
       48    0.000    0.000    0.000    0.000 {method 'get_bitsize' of 'pygame.surface.Surface' objects}
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       33    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        1    0.000    0.000    0.000    0.000 enum.py:499(__new__)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1568(<genexpr>)
        8    0.000    0.000    0.000    0.000 enum.py:367(__setitem__)
       92    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        6    0.000    0.000    0.001    0.000 dataclasses.py:413(_create_fn)
       81    0.000    0.000    0.000    0.000 __init__.py:12(set_module)
        3    0.000    0.000    0.000    0.000 enum.py:242(__set_name__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.readlink}
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.011    0.011 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6545(__new__)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
       12    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:931(create_module)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1721(_parse_hextet)
       81    0.000    0.000    0.000    0.000 __init__.py:23(decorator)
       87    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1157(_make_netmask)
       27    0.000    0.000    0.000    0.000 NESemupy.py:902(EOR_ZP)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
       29    0.000    0.000    0.010    0.000 __init__.py:225(compile)
       27    0.000    0.000    0.000    0.000 NESemupy.py:1021(ADC_ABS)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.003    0.003 sysfont.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
       33    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.002    0.002 difflib.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.002    0.002 sprite.py:1(<module>)
       62    0.000    0.000    0.000    0.000 typing.py:1844(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:340(_sanity_check)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _distributor_init.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        2    0.000    0.000    0.000    0.000 enum.py:1377(_missing_)
        1    0.000    0.000    0.000    0.000 NESemupy.py:61(<listcomp>)
        8    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       78    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
        7    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        5    0.000    0.000    0.000    0.000 typing.py:723(Optional)
       13    0.000    0.000    0.000    0.000 core.py:8389(getdoc)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       41    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
       71    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.005    0.005 _debug.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
       48    0.000    0.000    0.000    0.000 multiarray.py:346(where)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
       26    0.000    0.000    0.001    0.000 core.py:6850(__init__)
        1    0.000    0.000    0.000    0.000 dataclasses.py:528(_init_fn)
        6    0.000    0.000    0.000    0.000 cursors.py:171(__init__)
       36    0.000    0.000    0.000    0.000 typing.py:284(_check_generic)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       63    0.000    0.000    0.000    0.000 __init__.py:424(<genexpr>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 surfarray.py:1(<module>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       47    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       70    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
        2    0.000    0.000    0.000    0.000 inspect.py:2955(__init__)
        1    0.000    0.000    0.002    0.002 dataclasses.py:1221(wrap)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        9    0.000    0.000    0.000    0.000 inspect.py:2669(__init__)
       19    0.000    0.000    0.000    0.000 NESemupy.py:1242(LDY_ABS_X)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       26    0.000    0.000    0.000    0.000 NESemupy.py:97(set_p)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cursors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
       11    0.000    0.000    0.000    0.000 typing.py:1981(_caller)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2268(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1854(_split_scope_id)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 enum.py:484(__prepare__)
        2    0.000    0.000    0.000    0.000 {built-in method nt.unsetenv}
        1    0.000    0.000    0.000    0.000 inspect.py:3215(__str__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8401(_replace_return_type)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000022F8D358540}
        5    0.000    0.000    0.001    0.000 typing.py:2891(_make_nmtuple)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1220(__init__)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       80    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.007    0.003 _adapters.py:146(_reader)
        1    0.000    0.000    0.000    0.000 glob.py:176(_listdir)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
       72    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 sprite.py:727(LayeredUpdates)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
       13    0.000    0.000    0.000    0.000 core.py:8384(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
        2    0.000    0.000    0.000    0.000 _common.py:47(get_package)
       10    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        3    0.000    0.000    0.001    0.000 __init__.py:342(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 abc.py:56(Traversable)
        9    0.000    0.000    0.000    0.000 typing.py:1595(copy_with)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       94    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        5    0.000    0.000    0.000    0.000 functools.py:966(__init__)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        8    0.000    0.000    0.000    0.000 inspect.py:2756(__str__)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 pathlib.py:128(<setcomp>)
        3    0.000    0.000    0.001    0.000 warnings.py:131(filterwarnings)
        1    0.000    0.000    0.000    0.000 sprite.py:97(Sprite)
        1    0.000    0.000    0.000    0.000 datetime.py:1665(datetime)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:583(_readlink_deep)
      105    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:3007(from_callable)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib.util>:308(exec_module)
        1    0.000    0.000    0.001    0.001 freetype.py:1(<module>)
       15    0.000    0.000    0.000    0.000 NESemupy.py:1267(CMP_ZP)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:682(SpooledTemporaryFile)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.007    0.007 pkgdata.py:27(resource_exists)
        1    0.000    0.000    0.000    0.000 _adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:39(EigResult)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 defchararray.py:1922(chararray)
        2    0.000    0.000    0.000    0.000 readers.py:16(__init__)
        2    0.000    0.000    0.007    0.003 <frozen importlib._bootstrap_external>:1136(get_resource_reader)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
